,ID,Name,Serving_size-(g),Calories-(kcal),Water-(g/ml),Carbs-(g),Sugar-(g),Fiber-(g),Protein-(g),Of Which NonEssential-(g),Fat-(g),Of which UnHealthy-(g),Cholesterol-(mg)
117,5209,QUAKER Instant Oatmeal Raisin and Spice dry Cereals,100,360,8.45,75.68,35.65,5.8,9.11,0.0,4.0,0.605,0.0
118,306,mamey raw Sapote,100,124,64.87,32.1,20.14,5.4,1.45,0.83,0.46,0.169,0.0
119,5071,frozen concentrate unsweetened undiluted Orange juice,100,148,60.57,35.19,29.68,1.0,2.4,1.495,0.25,0.059,0.0
120,1618,dry powder unsweetened Gelatins,100,335,13.0,0.0,0.0,0.0,85.6,62.895,0.1,0.07,0.0
121,1087,pork skins plain Snacks,100,544,1.8,0.0,0.0,0.0,61.3,46.256,31.3,11.465,95.0
122,7259,dry mix reduced calorie with aspartame no added sodium Gelatin desserts,100,345,6.7,33.3,0.0,0.0,55.3,45.475,0.0,0.0,0.0
123,8491,dry mix reduced calorie with aspartame added phosphorus potassium sodium vitamin C Gelatin desserts,100,345,6.7,33.3,0.0,0.0,55.3,45.475,0.0,0.0,0.0
124,2713,pork skins barbecue-flavor Snacks,100,538,2.1,1.6,0.0,0.0,57.9,43.605,31.8,11.675,115.0
125,5357,white dried powder stabilized glucose reduced Egg,100,376,8.54,4.47,0.0,0.0,82.4,46.526,0.04,0.0,0.0
126,3893,white dried stabilized glucose reduced Egg,100,357,5.48,4.51,0.0,0.0,84.08,48.879,0.32,0.118,0.0
127,5356,white dried flakes stabilized glucose reduced Egg,100,351,14.62,4.17,0.0,0.0,76.92,43.433,0.04,0.0,0.0
128,4401,bearded (Oogruk) meat dried (Alaska Native) Seal,100,351,11.6,0.0,0.0,0.0,82.6,41.028,2.3,0.6,0.0
129,389,white dried Egg,100,382,5.8,7.8,5.4,0.0,81.1,44.962,0.0,0.0,0.0
130,1112,spirulina dried Seaweed,100,290,4.68,23.9,3.1,3.6,57.47,34.566,7.72,2.65,0.0
131,3089,beluga meat dried (Alaska Native) Whale,100,327,22.39,0.0,0.0,0.0,69.86,35.83,5.34,1.326,122.0
132,2370,cod Atlantic dried and salted Fish,100,290,16.14,0.0,0.0,0.0,62.82,33.962,2.37,0.614,152.0
133,2267,whitefish dried (Alaska Native) Fish,100,371,20.59,0.0,0.0,0.0,62.44,33.09,13.44,3.116,266.0
134,213,Soy protein isolate,100,335,4.98,0.0,0.0,0.0,88.32,55.338,3.39,0.422,0.0
135,1378,potassium type Soy protein isolate,100,321,4.98,2.59,0.0,0.0,88.32,55.338,0.53,0.077,0.0
136,5806,bearded (Oogruk) meat partially dried (Alaska Native) Seal,100,270,34.92,0.0,0.0,0.0,62.38,30.982,2.31,0.0,0.0
137,694,dried (Alaska Native) Smelt,100,386,16.92,0.0,0.0,0.0,56.19,28.21,17.9,3.839,249.0
138,3567,whelk unspecified cooked moist heat Mollusks,100,275,32.0,15.52,0.0,0.0,47.68,29.983,0.8,0.192,130.0
139,3859,whole dried stabilized glucose reduced Egg,100,615,1.87,2.38,0.0,0.0,48.17,27.136,43.95,15.215,2017.0
140,753,whole cooked scrambled Egg,100,149,76.4,1.61,1.39,0.0,9.99,5.738,10.98,3.608,277.0
141,4261,QUAKER QUAKER OAT LIFE plain Cereals ready-to-eat,100,374,4.3,77.74,19.43,6.6,9.98,0.0,4.43,0.83,0.0
142,2279,extra firm prepared with nigari Tofu,100,83,82.31,1.18,0.71,1.0,9.98,6.385,5.26,0.919,0.0
143,811,Greek plain lowfat Yogurt,100,73,83.56,3.94,3.56,0.0,9.95,3.214,1.92,1.24,10.0
144,2449,pork refrigerated heated Egg rolls,100,222,51.33,29.5,5.32,2.1,9.94,5.58,7.17,1.602,14.0
145,4904,QUAKER Instant Grits Country Bacon flavor dry Cereals,100,340,7.37,75.39,0.38,5.1,9.93,0.0,1.73,0.24,0.0
146,2535,Australian separable fat raw Veal,100,509,38.1,0.0,0.0,0.0,9.91,0.0,52.17,23.63,66.0
147,181,pearled raw Barley,100,352,10.09,77.72,0.8,15.6,9.91,6.547,1.16,0.244,0.0
148,5003,mixed-grain toasted (includes granola) English muffins,100,255,35.0,50.3,0.88,3.0,9.9,6.68,1.9,0.25,0.0
149,726,hard (includes kaiser) Rolls,100,293,31.0,52.7,1.77,2.3,9.9,6.889,4.3,0.606,0.0
150,2269,POST Bran Flakes Cereals ready-to-eat,100,328,3.4,80.5,18.6,18.3,9.9,0.0,2.1,0.4,0.0
151,288,multigrain Bagels,100,241,39.4,47.47,8.66,6.2,9.9,0.0,1.24,0.006,6.0
152,5338,white all-purpose self-rising enriched Wheat flour,100,354,10.59,74.22,0.22,2.7,9.89,6.966,0.97,0.154,0.0
153,6526,GENERAL MILLS OATMEAL CRISP Crunchy Almond Cereals ready-to-eat,100,390,2.9,78.09,22.89,8.2,9.89,0.0,6.69,1.1,0.0
154,144,dried (Navajo) Corn,100,386,8.1,74.93,5.38,0.0,9.88,0.0,5.22,0.82,0.0
155,1915,chicken turkey pork Bologna,100,298,55.25,5.65,0.0,0.0,9.88,0.0,26.18,8.07,80.0
156,5296,M&M MARS COMBOS Snacks Cheddar Cheese Pretzel Snacks,100,463,1.67,66.5,17.6,3.6,9.85,0.0,16.92,9.661000000000001,5.0
157,1117,yellow (Navajo) Cornmeal,100,384,10.15,72.9,1.56,9.4,9.85,5.89,5.88,1.043,0.0
158,2199,BURRITO SUPREME with chicken TACO BELL,100,179,61.0,20.51,0.0,2.4,9.84,5.297,6.42,2.3729999999999998,21.0
159,3141,pesto ready-to-serve refrigerated Sauce,100,418,38.98,10.09,6.33,1.8,9.83,0.0,37.6,7.07,0.0
160,4038,flaxseed contains added sliced flaxseed Oil,100,878,0.16,0.39,0.0,0.0,0.37,0.0,99.01,9.047,0.0
161,8271,"chuck eye Country-Style ribs boneless separable lean and fat trimmed to 0"" fat all grades cooked braised Beef",100,296,51.91,0.0,0.0,0.0,27.69,15.162,20.55,9.105,96.0
162,2418,industrial mid-oleic sunflower Oil,100,884,0.0,0.0,0.0,0.0,0.0,0.0,100.0,9.009,0.0
163,7715,"rib eye small end (ribs 10-12) separable lean and fat trimmed to 0"" fat choice raw Beef",100,274,58.03,0.0,0.0,0.0,17.51,9.576,22.07,9.068,68.0
164,2924,SOFT BATCH Chocolate Chip Cookies KEEBLER,100,477,6.0,66.2,36.9,1.7,3.6,0.0,22.1,9.0,0.0
165,2980,M&M MARS Pretzel Chocolate Candies Candies,100,447,4.84,72.94,50.0,2.5,5.0,0.0,15.0,8.999,13.0
166,691,flaxseed cold pressed Oil,100,884,0.12,0.0,0.0,0.0,0.11,0.0,99.98,8.976,0.0
