,Id,name,serving_size,calories,total_fat,saturated_fat,cholesterol,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,water
3250,3250,"Blueberries, drained, light syrup, canned",100 g,88,0.4g,0g,0,1.04 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.66 g,2.6 g,17.45 g,8.43 g,0.00 g,8.62 g,0.00 g,0.00 g,0.41 g,0.40 g,0.028 g,0.062 g,0.190 g,0.00 mg,75.72 g
3778,3778,"Sauce, CHA! BY TEXAS PETE, sriracha, hot chile",100 g,108,1g,0g,0,2.02 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73 g,2.1 g,15.65 g,8.28 g,0.00 g,7.36 g,0.00 g,0.00 g,0.00 g,0.98 g,0,0,0,0,66.25 g
4835,4835,"Cereals ready-to-eat, CINNAMON TOAST CRUNCH, GENERAL MILLS",100 g,410,10g,1g,0,5.45 g,0.234 g,0.298 g,0.383 g,0.096 g,1.435 g,0.223 g,0.127 g,0,0.191 g,0.372 g,0.085 g,0.085 g,0.245 g,0.393 g,0.266 g,0.181 g,0.074 g,0.138 g,0.255 g,77.99 g,6.8 g,30.30 g,8.20 g,0.00 g,1.59 g,0.00 g,0.00 g,20.52 g,10.25 g,0.975 g,4.920 g,2.110 g,0.00 mg,3.24 g
2030,2030,"Nance, drained, syrup, canned",100 g,95,1.3g,0g,0,0.56 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.79 g,7.0 g,15.66 g,8.18 g,0.00 g,7.41 g,0.00 g,0.00 g,0.07 g,1.28 g,0,0,0,0,74.85 g
1006,1006,"Sauce, sriracha, hot chile",100 g,93,0.9g,0g,0,1.93 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.16 g,2.2 g,15.11 g,8.16 g,0.00 g,6.67 g,0.00 g,0.00 g,0.27 g,0.93 g,0,0,0,0,71.84 g
6350,6350,"Grapes, raw, red or green (European type, such as Thompson seedless)",100 g,69,0.2g,0.1g,0,0.72 g,0.022 g,0.130 g,0.038 g,0.010 g,0.081 g,0.016 g,0.022 g,0,0.011 g,0.022 g,0.027 g,0.009 g,0.019 g,0.080 g,0.022 g,0.022 g,0.011 g,0.010 g,0.022 g,18.10 g,0.9 g,15.48 g,8.13 g,0.00 g,7.20 g,0.00 g,0.00 g,0.15 g,0.16 g,0.054 g,0.007 g,0.048 g,0.00 mg,80.54 g
5698,5698,"Cereals, dry, with raisins and spice, fortified, instant, oats",100 g,360,4g,0.6g,0,8.45 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.33 g,5.7 g,37.14 g,7.78 g,0.10 g,7.65 g,0.10 g,0.10 g,21.41 g,4.03 g,0.639 g,1.207 g,1.274 g,0.00 mg,8.44 g
5209,5209,"Cereals, dry, Raisin and Spice, Instant Oatmeal, QUAKER",100 g,360,4g,0.6g,0,9.11 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.68 g,5.8 g,35.65 g,7.70 g,0.10 g,7.60 g,0.10 g,0.10 g,20.05 g,4.00 g,0.605 g,1.191 g,1.254 g,0.00 mg,8.45 g
306,306,"Sapote, raw, mamey",100 g,124,0.5g,0.2g,0,1.45 g,0.073 g,0.049 g,0.147 g,0.012 g,0.147 g,0.073 g,0.049 g,0,0.061 g,0.073 g,0.073 g,0.024 g,0.061 g,0.085 g,0.195 g,0.085 g,0.049 g,0.049 g,0.073 g,32.10 g,5.4 g,20.14 g,7.66 g,0.00 g,8.01 g,0.00 g,0.38 g,4.09 g,0.46 g,0.169 g,0.102 g,0.097 g,0.00 mg,64.87 g
5071,5071,"Orange juice, undiluted, unsweetened, frozen concentrate",100 g,148,0.3g,0.1g,0,2.40 g,0.069 g,0.309 g,0.437 g,0.013 g,0.146 g,0.043 g,0.020 g,0.000 g,0.030 g,0.053 g,0.062 g,0.010 g,0.043 g,0.376 g,0.079 g,0.040 g,0.009 g,0.023 g,0.046 g,35.19 g,1.0 g,29.68 g,7.55 g,0.00 g,6.58 g,0.00 g,0.00 g,15.55 g,0.25 g,0.059 g,0.050 g,0.063 g,0.00 mg,60.57 g
